DateTime,temp,Humi,1-SetCurr,1-OutVolt,1-OutCurr,1-Res,2-SetCurr,2-OutVolt,2-OutCurr,2-Res,3-SetCurr,3-OutVolt,3-OutCurr,3-Res,4-SetCurr,4-OutVolt,4-OutCurr,4-Res,5-SetCurr,5-OutVolt,5-OutCurr,5-Res,6-SetCurr,6-OutVolt,6-OutCurr,6-Res,7-SetCurr,7-OutVolt,7-OutCurr,7-Res,8-SetCurr,8-OutVolt,8-OutCurr,8-Res,9-SetCurr,9-OutVolt,9-OutCurr,9-Res,10-SetCurr,10-OutVolt,10-OutCurr,10-Res,11-SetCurr,11-OutVolt,11-OutCurr,11-Res,12-SetCurr,12-OutVolt,12-OutCurr,12-Res,TB1-Volt,TB1-Min,TB1-Max,Rectifier_Voltage,Rectifier_Current,Prev_Time_Diff,Is_Continuous,Segment,TB_Lag1,TB_Lag2,TB_Lag3,TB_Lag4,TB_Lag5,TB_Lag6,Reset_Group
2026-08-01 01:10:29,28.42,75.32,0.75,43.33,0.77,211.64,0.84,43.56,0.85,216.09,0.08,42.35,0.08,327.66,0.31,44.12,0.3,199.9,0.79,43.5,0.76,153.45,0.46,43.04,0.45,98.31,0.32,43.61,0.31,144.25,0.41,43.73,0.42,177.76,0.54,43.1,0.54,83.84,0.91,43.79,0.92,295.79,0.18,43.27,0.18,254.08,0.35,44.25,0.36,137.37,-1628,-1500,-1800,43.47083333333334,5.94,0 days 00:10:00,True,1,-1633.0,-1637.0,-1633.0,-1634.0,-1639.0,-1641.0,BELOW
2026-08-01 02:20:29,27.94,76.44,0.75,43.61,0.72,177.3,0.84,43.84,0.84,193.34,0.08,42.58,0.08,327.66,0.31,44.12,0.31,194.61,0.79,43.67,0.79,144.25,0.46,43.21,0.45,92.57,0.32,43.79,0.33,132.23,0.41,44.19,0.41,173.43,0.54,43.37,0.52,83.37,0.91,44.02,0.9,263.34,0.18,43.44,0.18,250.45,0.35,43.84,0.36,195.81,-1626,-1500,-1800,43.63999999999999,5.8900000000000015,0 days 00:10:00,True,1,-1628.0,-1632.0,-1634.0,-1627.0,-1633.0,-1631.0,BELOW
2026-08-01 02:30:29,27.94,76.6,0.75,43.73,0.77,182.45,0.84,44.07,0.87,188.86,0.08,42.75,0.08,327.66,0.31,44.02,0.31,193.85,0.79,43.5,0.8,153.45,0.46,43.04,0.45,104.98,0.32,43.56,0.33,150.12,0.41,43.67,0.4,182.21,0.54,43.1,0.55,84.99,0.91,43.79,0.91,301.82,0.18,43.15,0.18,279.25,0.35,43.67,0.34,173.1,-1626,-1500,-1800,43.50416666666667,5.99,0 days 00:10:00,True,1,-1626.0,-1628.0,-1632.0,-1634.0,-1627.0,-1633.0,BELOW
2026-08-01 02:40:29,27.88,76.51,0.75,43.56,0.77,179.6,0.84,43.84,0.81,190.44,0.08,42.52,0.08,327.66,0.31,44.36,0.3,171.32,0.79,43.61,0.76,144.06,0.46,43.27,0.45,90.74,0.32,43.73,0.31,130.81,0.41,43.79,0.4,169.1,0.54,43.1,0.53,84.75,0.91,43.73,0.93,327.66,0.18,43.04,0.18,327.66,0.35,43.79,0.36,161.66,-1624,-1500,-1800,43.52833333333334,5.88,0 days 00:10:00,True,1,-1626.0,-1626.0,-1628.0,-1632.0,-1634.0,-1627.0,BELOW
2026-08-01 02:50:29,27.88,76.87,0.75,43.79,0.77,165.29,0.84,44.07,0.82,208.59,0.08,42.87,0.08,327.66,0.31,43.9,0.31,224.53,0.79,43.37,0.78,159.95,0.46,43.15,0.45,98.31,0.32,43.5,0.32,146.73,0.41,43.61,0.4,184.15,0.54,43.56,0.56,76.19,0.91,43.96,0.94,263.0,0.18,43.56,0.18,226.42,0.35,44.3,0.36,144.83,-1624,-1500,-1800,43.63666666666666,5.97,0 days 00:10:00,True,1,-1624.0,-1626.0,-1626.0,-1628.0,-1632.0,-1634.0,BELOW
2026-08-01 03:00:29,27.83,76.84,0.75,43.5,0.77,194.01,0.84,43.79,0.82,213.6,0.08,42.35,0.08,327.66,0.31,44.3,0.32,195.11,0.79,43.56,0.76,142.37,0.46,43.27,0.47,93.32,0.32,43.79,0.33,133.5,0.41,43.79,0.41,169.54,0.54,43.21,0.54,81.67,0.91,43.84,0.88,262.66,0.18,43.27,0.18,269.03,0.35,43.73,0.36,161.01,-1623,-1500,-1800,43.53333333333333,5.92,0 days 00:10:00,True,1,-1624.0,-1624.0,-1626.0,-1626.0,-1628.0,-1632.0,BELOW
2026-08-01 03:10:29,27.62,77.45,0.75,43.84,0.73,161.66,0.84,44.07,0.82,176.9,0.08,42.7,0.08,327.66,0.31,43.96,0.3,208.04,0.79,43.96,0.81,126.55,0.46,43.5,0.45,82.59,0.32,44.07,0.33,112.7,0.41,44.12,0.42,150.47,0.54,43.5,0.55,75.36,0.91,44.12,0.9,245.5,0.18,43.44,0.18,229.58,0.35,44.07,0.34,151.89,-1623,-1500,-1800,43.77916666666667,5.91,0 days 00:10:00,True,1,-1623.0,-1624.0,-1624.0,-1626.0,-1626.0,-1628.0,BELOW
2026-08-01 03:20:29,27.72,77.36,0.75,43.56,0.76,177.3,0.84,43.84,0.82,193.34,0.08,42.52,0.08,327.66,0.31,44.02,0.32,183.65,0.79,43.9,0.81,123.18,0.46,43.56,0.47,80.76,0.32,44.02,0.33,112.56,0.41,43.73,0.42,144.44,0.54,43.56,0.53,76.4,0.91,44.25,0.93,246.14,0.18,43.67,0.18,206.68,0.35,43.61,0.35,181.97,-1620,-1500,-1800,43.68666666666667,5.999999999999999,0 days 00:10:00,True,1,-1623.0,-1623.0,-1624.0,-1624.0,-1626.0,-1626.0,BELOW
2026-08-01 03:30:29,27.72,77.48,0.75,43.79,0.76,161.44,0.84,44.12,0.82,179.17,0.08,42.58,0.08,327.66,0.31,44.42,0.32,161.67,0.79,43.84,0.77,120.89,0.46,43.37,0.46,80.44,0.32,44.07,0.31,109.89,0.41,44.12,0.4,147.11,0.54,43.67,0.52,70.65,0.91,44.25,0.92,226.0,0.18,43.67,0.18,197.57,0.35,43.61,0.34,166.84,-1607,-1500,-1800,43.7925,5.879999999999999,0 days 00:10:00,True,1,-1620.0,-1623.0,-1623.0,-1624.0,-1624.0,-1626.0,TARGET
2026-08-01 03:40:29,27.56,77.67,0.75,43.5,0.75,202.84,0.84,43.79,0.84,223.94,0.08,42.46,0.08,327.66,0.31,43.9,0.32,196.07,0.79,43.79,0.78,142.95,0.46,43.37,0.46,87.5,0.32,43.73,0.31,115.39,0.41,43.84,0.41,185.12,0.54,43.67,0.54,75.15,0.91,43.56,0.92,234.09,0.18,43.04,0.18,206.78,0.35,44.02,0.34,148.28,-1607,-1500,-1800,43.55583333333334,5.93,0 days 00:10:00,True,1,-1607.0,-1620.0,-1623.0,-1623.0,-1624.0,-1624.0,TARGET
2026-08-01 03:50:29,27.72,77.79,0.75,43.44,0.75,188.45,0.84,43.79,0.86,195.3,0.08,42.35,0.08,327.66,0.31,44.42,0.31,165.7,0.79,43.9,0.77,130.27,0.46,43.5,0.45,84.1,0.32,44.02,0.33,120.32,0.41,44.12,0.41,141.34,0.54,43.73,0.52,74.15,0.91,44.3,0.94,305.4,0.18,43.67,0.18,238.76,0.35,44.02,0.35,155.08,-1610,-1500,-1800,43.77166666666667,5.949999999999999,0 days 00:10:00,True,1,-1607.0,-1607.0,-1620.0,-1623.0,-1623.0,-1624.0,TARGET
2026-08-01 04:00:30,27.88,77.33,0.75,43.84,0.76,165.5,0.84,44.12,0.87,166.59,0.08,42.64,0.08,327.66,0.31,44.3,0.32,182.44,0.79,43.67,0.76,152.17,0.46,43.15,0.47,95.68,0.32,43.67,0.31,141.3,0.41,43.84,0.4,185.37,0.54,43.1,0.55,83.95,0.91,43.79,0.9,289.63,0.18,43.21,0.18,279.63,0.35,43.73,0.36,169.1,-1608,-1500,-1800,43.58833333333334,5.96,0 days 00:10:01,True,1,-1610.0,-1607.0,-1607.0,-1620.0,-1623.0,-1623.0,TARGET
2026-08-01 04:10:29,27.83,77.6,0.75,43.5,0.77,183.9,0.84,43.79,0.87,204.18,0.08,42.52,0.08,327.66,0.31,44.42,0.3,169.47,0.79,43.96,0.76,127.71,0.46,43.61,0.45,84.32,0.32,44.12,0.32,116.61,0.41,44.12,0.4,147.3,0.54,43.44,0.53,76.0,0.91,43.96,0.9,283.72,0.18,43.33,0.18,245.01,0.35,43.96,0.36,164.2,-1607,-1500,-1800,43.7275,5.920000000000001,0 days 00:09:59,True,1,-1608.0,-1610.0,-1607.0,-1607.0,-1620.0,-1623.0,TARGET
2026-08-01 04:20:29,27.72,78.06,0.75,43.79,0.74,178.0,0.84,43.96,0.85,188.36,0.08,42.7,0.08,327.66,0.31,43.9,0.3,283.72,0.79,43.73,0.77,129.42,0.46,43.37,0.46,87.5,0.32,43.84,0.33,129.75,0.41,43.9,0.41,146.34,0.54,43.73,0.55,70.74,0.91,44.3,0.9,226.58,0.18,43.67,0.18,203.64,0.35,43.84,0.34,169.32,-1611,-1500,-1800,43.7275,5.91,0 days 00:10:00,True,1,-1607.0,-1608.0,-1610.0,-1607.0,-1607.0,-1620.0,BELOW
2026-08-01 04:30:29,27.56,78.49,0.75,43.5,0.77,202.84,0.84,43.67,0.81,219.81,0.08,42.41,0.08,327.66,0.31,44.48,0.3,185.32,0.79,43.73,0.81,134.44,0.46,43.33,0.47,90.38,0.32,43.84,0.31,130.98,0.41,43.84,0.42,156.0,0.54,43.21,0.53,90.62,0.91,43.79,0.93,283.35,0.18,43.21,0.18,291.53,0.35,43.84,0.35,161.66,-1595,-1500,-1800,43.570833333333326,5.959999999999999,0 days 00:10:00,True,1,-1611.0,-1607.0,-1608.0,-1610.0,-1607.0,-1607.0,TARGET
